times,prices,status: base,power: base,status: peaker,power: peaker,power: wind,load power: Ireland
2010-04-28 20:30:00,30.0,1.0,2801.0,-0.0,0.0,373,3174
2010-04-28 20:45:00,30.0,1.0,2885.0,-0.0,0.0,340,3225
2010-04-28 21:00:00,30.0,1.0,2937.0,0.0,0.0,341,3278
2010-04-28 21:15:00,50.0,1.0,3000.0,1.0,60.0,319,3379
2010-04-28 21:30:00,50.0,1.0,3000.0,1.0,49.0,288,3337
2010-04-28 21:45:00,50.0,1.0,3000.0,1.0,46.0,275,3321
2010-04-28 22:00:00,50.0,1.0,3000.0,1.0,5.0,265,3270
2010-04-28 22:15:00,30.0,1.0,2936.0,0.0,0.0,244,3180
2010-04-29 01:45:00,30.0,1.0,2037.0,1.0,0.0,217,2254
2010-04-29 02:00:00,30.0,1.0,2036.0,1.0,0.0,190,2226
2010-04-29 02:15:00,30.0,1.0,2033.0,1.0,0.0,158,2191
2010-04-29 02:30:00,30.0,1.0,2018.0,1.0,0.0,158,2176
2010-04-29 02:45:00,30.0,1.0,1984.0,1.0,0.0,159,2143
2010-04-29 03:00:00,30.0,1.0,1964.0,1.0,0.0,153,2117
2010-04-29 03:15:00,30.0,1.0,1953.0,1.0,0.0,155,2108
2010-04-29 03:30:00,30.0,1.0,1959.0,1.0,0.0,137,2096
2010-04-29 03:45:00,30.0,1.0,1933.0,1.0,0.0,166,2099
2010-04-29 04:00:00,30.0,1.0,1908.0,1.0,0.0,181,2089
2010-04-29 04:15:00,30.0,1.0,1950.0,1.0,0.0,133,2083
2010-04-29 04:30:00,30.0,1.0,1977.0,1.0,0.0,122,2099
2010-04-29 04:45:00,30.0,1.0,1975.0,1.0,0.0,129,2104
2010-04-29 05:00:00,30.0,1.0,2003.0,1.0,0.0,106,2109
2010-04-29 05:15:00,30.0,1.0,2019.0,1.0,0.0,114,2133
2010-04-29 05:30:00,30.0,1.0,2031.0,1.0,0.0,121,2152
2010-04-29 10:45:00,50.0,1.0,3000.0,1.0,180.0,186,3366
2010-04-29 11:00:00,50.0,1.0,3000.0,1.0,175.0,190,3365
2010-04-29 11:15:00,50.0,1.0,3000.0,1.0,154.0,199,3353
2010-04-29 11:30:00,50.0,1.0,3000.0,1.0,152.0,198,3350
2010-04-29 11:45:00,50.0,1.0,3000.0,1.0,141.0,221,3362
2010-04-29 12:00:00,50.0,1.0,3000.0,1.0,169.0,194,3363
2010-04-29 12:15:00,50.0,1.0,3000.0,1.0,160.0,201,3361
2010-04-29 12:30:00,50.0,1.0,3000.0,1.0,114.0,275,3389
2010-04-29 12:45:00,50.0,1.0,3000.0,1.0,138.0,231,3369
2010-04-29 13:00:00,50.0,1.0,3000.0,1.0,127.0,244,3371
2010-04-29 13:15:00,50.0,1.0,3000.0,1.0,96.0,238,3334
2010-04-29 13:30:00,50.0,1.0,3000.0,1.0,57.0,226,3283
2010-04-29 13:45:00,50.0,1.0,3000.0,1.0,42.0,235,3277
2010-04-29 14:00:00,30.0,1.0,2978.0,0.0,0.0,292,3270
2010-04-29 14:15:00,50.0,1.0,3000.0,1.0,20.0,234,3254
2010-04-29 14:30:00,50.0,1.0,3000.0,1.0,22.0,267,3289
2010-04-29 14:45:00,50.0,1.0,3000.0,1.0,6.0,267,3273
2010-04-29 15:00:00,50.0,1.0,3000.0,1.0,23.0,246,3269
2010-04-29 15:15:00,50.0,1.0,3000.0,1.0,43.0,244,3287
2010-04-29 15:30:00,50.0,1.0,3000.0,1.0,16.0,303,3319
2010-04-29 15:45:00,50.0,1.0,3000.0,1.0,44.0,289,3333
2010-04-29 16:00:00,50.0,1.0,3000.0,1.0,39.0,277,3316
2010-04-29 16:15:00,50.0,1.0,3000.0,1.0,85.0,255,3340
2010-04-29 22:15:00,50.0,1.0,3000.0,1.0,42.0,129,3171
2010-04-29 22:30:00,30.0,1.0,2912.0,1.0,0.0,150,3062
2010-04-29 22:45:00,30.0,1.0,2833.0,1.0,0.0,147,2980
2010-04-29 23:00:00,30.0,1.0,2744.0,1.0,0.0,145,2889
2010-04-29 23:15:00,30.0,1.0,2651.0,1.0,0.0,149,2800
2010-04-29 23:30:00,30.0,1.0,2530.0,1.0,0.0,163,2693
2010-04-29 23:45:00,30.0,1.0,2444.0,1.0,0.0,166,2610
2010-04-30 00:00:00,30.0,1.0,2397.0,1.0,0.0,167,2564
2010-04-30 04:45:00,30.0,1.0,1979.0,1.0,0.0,105,2084
2010-04-30 05:00:00,30.0,1.0,1996.0,1.0,0.0,99,2095
2010-04-30 05:15:00,30.0,1.0,2011.0,1.0,0.0,97,2108
2010-04-30 05:30:00,30.0,1.0,2013.0,1.0,0.0,98,2111
2010-04-30 05:45:00,30.0,1.0,2015.0,1.0,0.0,106,2121
2010-04-30 06:00:00,30.0,1.0,2035.0,1.0,0.0,97,2132
2010-04-30 07:30:00,30.0,1.0,2669.0,-0.0,0.0,105,2774
2010-04-30 07:45:00,30.0,1.0,2827.0,-0.0,0.0,98,2925
2010-04-30 08:00:00,30.0,1.0,2960.0,0.0,0.0,97,3057
2010-04-30 08:15:00,50.0,1.0,3000.0,1.0,100.0,97,3197
2010-04-30 08:30:00,50.0,1.0,3000.0,1.0,138.0,112,3250
2010-04-30 08:45:00,50.0,1.0,3000.0,1.0,155.0,145,3300
2010-04-30 09:00:00,50.0,1.0,3000.0,1.0,191.0,132,3323
2010-04-30 09:15:00,50.0,1.0,3000.0,1.0,271.0,116,3387
2010-04-30 09:30:00,50.0,1.0,3000.0,1.0,267.0,122,3389
2010-04-30 17:15:00,50.0,1.0,3000.0,1.0,51.0,251,3302
2010-04-30 17:30:00,50.0,1.0,3000.0,1.0,48.0,263,3311
2010-04-30 17:45:00,50.0,1.0,3000.0,1.0,88.0,247,3335
